# ----------------------------------------,,,,,,,,,
Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Direct,2024041623,237,300,144,47.526666666666700,0.6075949367088610,4.673333333333330,0.48,1402
Organic Social,2024041719,208,267,132,32.09737827715360,0.6346153846153850,4.295880149812730,0.4943820224719100,1147
Direct,2024041723,188,233,115,39.93991416309010,0.6117021276595740,4.587982832618030,0.49356223175965700,1069
Organic Social,2024041718,187,256,125,32.16015625,0.6684491978609630,4.078125,0.48828125,1044
Organic Social,2024041720,175,221,112,46.918552036199100,0.64,4.529411764705880,0.5067873303167420,1001
Organic Social,2024041721,160,206,103,59.31553398058250,0.64375,4.694174757281550,0.5,967
Organic Social,2024050119,160,219,110,40.31506849315070,0.6875,4.63013698630137,0.502283105022831,1014
Direct,2024041622,158,192,94,39.020833333333300,0.5949367088607590,4.057291666666670,0.4895833333333330,779
Organic Social,2024041321,152,178,96,30.48876404494380,0.631578947368421,5.056179775280900,0.5393258426966290,900
Organic Social,2024041516,151,211,93,64.16587677725120,0.6158940397350990,4.317535545023700,0.44075829383886300,911
Organic Social,2024050322,151,196,125,13.683673469387800,0.8278145695364240,4.678571428571430,0.6377551020408160,917
Organic Social,2024050321,150,188,120,15.48936170212770,0.8,4.579787234042550,0.6382978723404260,861
Organic Social,2024042620,146,184,110,32.630434782608700,0.7534246575342470,4.880434782608700,0.5978260869565220,898
Organic Social,2024041700,140,191,81,20.910994764397900,0.5785714285714290,3.842931937172780,0.42408376963350800,734
Organic Social,2024042621,140,199,82,13.758793969849200,0.5857142857142860,4.040201005025130,0.4120603015075380,804
Organic Social,2024041711,139,150,88,45,0.6330935251798560,5.626666666666670,0.5866666666666670,844
Organic Social,2024041515,136,198,90,43.78787878787880,0.6617647058823530,4.843434343434340,0.45454545454545500,959
Organic Social,2024042517,135,176,88,38.6875,0.6518518518518520,4.1875,0.5,737
Organic Social,2024041916,134,179,81,33.19553072625700,0.6044776119402990,4.094972067039110,0.45251396648044700,733
Organic Social,2024042616,132,176,93,30.90340909090910,0.7045454545454550,4.340909090909090,0.5284090909090910,764
Organic Social,2024041722,131,155,81,39.89677419354840,0.6183206106870230,4.658064516129030,0.5225806451612900,722
Organic Social,2024041119,130,150,93,71.06,0.7153846153846150,5.8,0.62,870
Organic Social,2024041322,130,157,69,28.515923566879000,0.5307692307692310,4.286624203821660,0.4394904458598730,673
Organic Social,2024041513,130,157,86,44.84076433121020,0.6615384615384620,4.6369426751592400,0.5477707006369430,728
Organic Social,2024043015,130,171,97,71.24561403508770,0.7461538461538460,5.573099415204680,0.5672514619883040,953
Organic Social,2024041717,129,147,89,70.77551020408160,0.689922480620155,5.2517006802721100,0.6054421768707480,772
Organic Social,2024050222,129,148,86,29.93243243243240,0.6666666666666670,4.675675675675680,0.581081081081081,692
Direct,2024042923,128,152,70,64.125,0.546875,4.651315789473680,0.4605263157894740,707
Organic Social,2024042610,128,178,81,36.03370786516850,0.6328125,4.353932584269660,0.4550561797752810,775
Organic Social,2024041000,127,200,60,25.07,0.47244094488189000,3.675,0.3,735
Organic Social,2024041712,127,152,88,59.66447368421050,0.6929133858267720,5.309210526315790,0.5789473684210530,807
Organic Social,2024042309,124,163,77,29.478527607362000,0.6209677419354840,4.638036809815950,0.4723926380368100,756
Organic Social,2024042518,124,154,72,63.5974025974026,0.5806451612903230,4.759740259740260,0.4675324675324680,733
Organic Social,2024042619,124,157,86,37.31210191082800,0.6935483870967740,5.414012738853500,0.5477707006369430,850
