name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Jalsa,Yes,Yes,4.1/5,775,800,Buffet
Spice Elephant,Yes,No,4.1/5,787,800,Buffet
San Churro Cafe,Yes,No,3.8/5,918,800,Buffet
Addhuri Udupi Bhojana,No,No,3.7/5,88,300,Buffet
Grand Village,No,No,3.8/5,166,600,Buffet
Timepass Dinner,Yes,No,3.8/5,286,600,Buffet
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,800,Buffet
Onesta,Yes,Yes,4.6/5,2556,600,Cafes
Penthouse Cafe,Yes,No,4.0/5,324,700,other
Smacznego,Yes,No,4.2/5,504,550,Cafes
Village Café,Yes,No,4.1/5,402,500,Cafes
Cafe Shuffle,Yes,Yes,4.2/5,150,600,Cafes
The Coffee Shack,Yes,Yes,4.2/5,164,500,Cafes
Caf-Eleven,No,No,4.0/5,424,450,Cafes
San Churro Cafe,Yes,No,3.8/5,918,800,Cafes
Cafe Vivacity,Yes,No,3.8/5,90,650,Cafes
Catch-up-ino,Yes,No,3.9/5,133,800,Cafes
Kirthi's Biryani,Yes,No,3.8/5,144,700,Cafes
T3H Cafe,No,No,3.9/5,93,300,Cafes
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,400,Cafes
The Vintage Cafe,Yes,No,3.0/5,62,400,Cafes
Woodee Pizza,Yes,No,3.7/5,180,500,Cafes
Cafe Coffee Day,No,No,3.6/5,28,900,Cafes
My Tea House,Yes,No,3.6/5,62,600,Cafes
Hide Out Cafe,No,No,3.7/5,31,300,Cafes
CAFE NOVA,No,No,3.2/5,11,600,Cafes
Coffee Tindi,Yes,No,3.8/5,75,200,Cafes
Sea Green Cafe,No,No,3.3/5,4,500,Cafes
Cuppa,No,No,3.3/5,23,550,Cafes
Srinathji's Cafe,No,No,3.8/5,148,550,Cafes
Redberrys,Yes,No,4.0/5,219,600,Cafes
Foodiction,Yes,No,2.8/5,506,500,other
Sweet Truth,Yes,No,3.9/5,35,500,Dining
Ovenstory Pizza,Yes,No,3.9/5,172,750,Dining
Faasos,Yes,No,4.2/5,415,500,other
Behrouz Biryani,Yes,No,3.9/5,230,650,Dining
Fast And Fresh,Yes,No,2.8/5,91,400,Dining
Szechuan Dragon,Yes,No,4.2/5,1647,600,Dining
Empire Restaurant,Yes,No,4.4/5,4884,750,other
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,150,Dining
Chaatimes,Yes,No,3.8/5,133,200,Dining
Havyaka Mess,No,No,3.9/5,28,300,Dining
McDonald's,Yes,No,3.9/5,286,500,Dining
Domino's Pizza,Yes,No,3.9/5,540,800,Dining
Onesta,Yes,Yes,4.6/5,2556,600,other
Hotboxit,No,No,3.8/5,36,400,Dining
